Bill_id,Bill_description,Patron_id,Patron_name
HB1,"Minimum wage; increases incrementally to $15.00 per hour by January 1, 2028.",H0173,Ward
HB2,"Electric utilities; energy efficiency upgrades, report.",H0172,Sickles
HB3,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.",H0372,LeVere Bolling
HB4,"Affordable housing; preservation, definitions, civil penalty.",H0334,Bennett-Parker
HB5,"Employment; paid sick leave, civil penalties.",H0295,Convirs-Fowler
HB6,"Contraception; definitions, establishes right to obtain, applicability, enforcement.",H0284,Price
HB7,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, civil liability.",H0368,Jones
HB8,General Assembly; intergovernmental affairs.,H0124,Ware
HB9,"Eastern Daylight Time; Commonwealth shall observe year-round upon enactment by Congress, etc.",H0308,McNamara
HB10,Real property tax; classification of land and improvements.,H0308,McNamara
HB11,"Emergency custody orders; transportation to treatment center, etc.",H0308,McNamara
HB12,"Income tax, state; standard deduction.",H0308,McNamara
HB13,RS and UT; food purchased for human consumption and essential personal hygiene products.,H0308,McNamara
HB14,Virginia Residential Landlord and Tenant Act; enforcement by localities.,H0284,Price
HB15,"Va. Residential Landlord and Tenant Act; landlord remedies, noncompliance with rental agreement.",H0284,Price
HB16,Community service work in lieu of payment of fines and costs; work performed while incarcerated.,H0284,Price
HB17,"Fines and costs; period of limitations on collection, responsibility for collections.",H0284,Price
HB18,"Employee Child Care Assistance Program; established, reports.",H0375,McClure
HB19,"Firearms; purchase, etc., after assault & battery of family or household member or intimate partner.",H0375,McClure
HB20,"Minimum wage; farm laborers or farm employees, temporary foreign workers.",H0375,McClure
HB21,"Firearm industry members; creates standards of responsible conduct, civil liability.",H0317,Helmer
HB22,"VMI; removes certain authority, disciplinary immunity for certain individuals who make reports.",H0317,Helmer
HB23,"Elections; primary dates, presidential year primaries.",H0317,Helmer
HB24,Concealed handgun permits; reciprocity with other states.,H0317,Helmer
HB25,Railroad safety; minimum train crew used in movement of freight.,H0353,Anthony
HB26,"Marijuana-related offenses; modification of sentence, sunset.",H0365,Henson
HB27,"Overtime for certain employees; pay for domestic workers, delayed effective date.",H0365,Henson
HB28,Voter registration; regular periodic review of registration records.,H0365,Henson
HB29,Budget Bill.,H0227,Torian
HB30,Budget Bill.,H0227,Torian
HB31,"Professionally Licensed Teacher Supplemental Pay Program; established, report.",H0360,Feggans
HB32,Problem Gambling Treatment and Support Advisory Committee; appointment of additional members.,H0281,Krizek
HB33,"Income tax, state; pass-through entities, sunset.",H0308,McNamara
HB34,Sexual Offense Prevention and Response Officer; feasibility of establishing position.,H0314,"Cole, J.G."
HB35,Restorative housing and isolated confinement; restrictions on use.,H0314,"Cole, J.G."
HB36,"Standards of Quality; class size limits, exception for certain ensemble music classes.",H0314,"Cole, J.G."
HB37,"Developmental disability waivers; financial eligibility standards, sunset repeal.",H0344,Shin
HB38,"Public schools; mental health awareness training and instruction, requirements.",H0365,Henson
HB39,Duty of settlement agent; restrictive covenants.,H0264,Simon
