Bill_id,Bill_description,topic_name,classification,qa_review,qa_notes
SB578,"Electric utilities; offshore wind generation facilities, competitive procurement process.",Public Service Companies,Official LIS subject,,
HB1445,New College Institute; duties.,Labor and Employment,Official LIS subject,,
HB1091,Public elementary schools; incorporation of career & technical education into curricula.,Education,Official LIS subject,,
SB675,Casino gaming; eligible host localities.,Taxation,Official LIS subject,,
SB617,"Washington Metropolitan Area Transit Authority; budget, operating assistance.",Highways and Other Surface Transportation Systems,Official LIS subject,,
HB889,"Retail Sales and Use tax; levies tax on following services: admissions, charges for recreation, etc.",Taxation,Official LIS subject,,
HB725,"Local government; powers, conveyance of real property, public hearing requirement.","Counties, Cities, and Towns",Official LIS subject,,
HB1049,Firefighters and emergency medical services personnel; recruitment and professional development.,Emergency Services and Vehicles,Official LIS subject,,
HB338,Siting of data centers; locality may perform site assessment before approval.,Data Centers,Official LIS subject,,
SB661,Nursing facilities; electronic monitoring in resident rooms.,Health,Official LIS subject,,
HJ61,"Higher ed. institutions, baccalaureate public; SCHEV to study $10,000 tuition per year degree.","Study Commissions, Committees, and Reports",Official LIS subject,,
HB274,Workers' compensation; presumption of compensability of infertility for firefighters.,Workers' Compensation,Official LIS subject,,
HB742,"Elections, State Board of; appointment of Commissioner of Elections.",Elections,Official LIS subject,,
SJ22,"Virginia State Police, retired; TAX to study reducing economic stress.","Study Commissions, Committees, and Reports",Official LIS subject,,
HJ63,Cannabis; Virginia Cannabis Control Authority to study creation of a retail market.,Cannabis,Official LIS subject,,
HJ24,Dillon Rule; joint subcommittee to study.,"Counties, Cities, and Towns",Official LIS subject,,
HB141,"Veterans' Fellowship for State Government Pilot Program; created, report.",Administration of Government,Official LIS subject,,
HB1405,Prisoners; Department of Corrections- and jailer-issued identification.,Prisons and Other Methods of Correction,Official LIS subject,,
SB446,"Environmental Resources, Board of; created.","Commissions, Boards, and Institutions Generally",Official LIS subject,,
SB694,Skill games; exceptions.,"Gambling, Lotteries, Etc.",Official LIS subject,,
SB708,"Underground transmission lines; qualifying projects, pilot program.",Public Service Companies,Official LIS subject,,
HB420,Federal park operations; temporary funding.,Governor,Official LIS subject,,
SB347,"VA Military Survivors & Dependents Education Program; work group to evaluate, etc., Program.",Uncodified Legislation,Official LIS subject,,
HB1063,Nursing homes; application requirements.,Health,Official LIS subject,,
SB322,Primary evacuation routes; statewide prioritization process.,Highways and Other Surface Transportation Systems,Official LIS subject,,
HB109,"Electric utilities; regional transmission entities, annual report.","Study Commissions, Committees, and Reports",Official LIS subject,,
HB774,Alcohol safety action program; local administrative fee.,Crimes and Offenses Generally,Official LIS subject,,
HB1479,"Health professions; universal licensure, requirements.",Administration of Government,Official LIS subject,,
SJ20,Comprehensive community colleges; funding model for noncredit workforce credential programs.,Educational Institutions,Official LIS subject,,
HB286,"Maternal Health Data and Quality Measures, Task Force on.",Health,Official LIS subject,,
SB10,"Income tax, state; subtraction for tax,  military retirement benefits, uniformed services.",Taxation,Official LIS subject,,
HB372,Child Care Implementation and Substitute Employee Pool Grant Program; established.,Education,Official LIS subject,,
SB113,"Veterans' Fellowship for State Government Pilot Program; created, report.",Veterans,Official LIS subject,,
HB563,"Classified instructional support staff; definition, procedure for adjusting grievances.",Uncodified Legislation,Official LIS subject,,
SB571,"Synthetic media; expands applicability of provisions related to defamation, etc., penalty.",Crimes and Offenses Generally,Official LIS subject,,
SB302,Virginia First Manufacturing Incentive Program; Manufacturing Development Commission to create.,"Study Commissions, Committees, and Reports",Official LIS subject,,
HB981,"Higher ed. institutions, public; tuition and financial aid, dependency override application form.",Educational Institutions,Official LIS subject,,
HB261,"Income tax, state; conformity to Internal Revenue Code.",Income Tax,Official LIS subject,,
HB573,Student safety and discipline; certain reports to school principals and division superintendents.,Education,Official LIS subject,,
SB714,Vehicle exhaust systems; inspection and administrative fee.,Northern Virginia,Official LIS subject,,
HJ14,Wolf Creek Cherokee Tribe of Virginia; General Assembly to extend state recognition.,Wolf Creek Cherokee Tribe of Virginia,Official LIS subject,,
HB178,"Social Work Advisory Board; established, report, sunset date.",Administration of Government,Official LIS subject,,
SB198,"License plates; creates plates for collector motor vehicles, penalty.",Motor Vehicles,Official LIS subject,,
SB181,Public elementary and secondary schools; cardiac emergency response plans required.,Secondary Schools,Official LIS subject,,
HB552,"Income tax, corporate; sourcing of sales other than sales of tangible personal property.",Income Tax,Official LIS subject,,
SJ19,Roadway & pedestrian improvements in Gainesville; VDOT to study implementation in Prince Wm. County.,Motor Vehicles,Official LIS subject,,
HB923,"Dulles Toll Road & Dulles Greenway; DOT to review tolls, fines, and penalties.",Highways and Other Surface Transportation Systems,Official LIS subject,,
HB502,Nonbinary sex or gender; all forms or applications to offer any applicant the option to designate.,Crimes and Offenses Generally,Official LIS subject,,
SB377,"Campaign finance; prohibited personal use of campaign funds, complaints, hearings, civil penalty.",Appropriations,Official LIS subject,,
SB218,Retirement system; animal control officers to receive benefits.,"Pensions, Benefits, and Retirement",Official LIS subject,,
SJ376,Commending hemp farmers in Virginia.,Agriculture and Food,Derived from LIS bill description,,
HR842,Commending the 4-H clubs and Future Farmers of America chapters in Washington County.,Agriculture and Food,Derived from LIS bill description,,
HJ561,Commending hemp farmers in Virginia.,Agriculture and Food,Derived from LIS bill description,,
HR767,Commending Spring Valley Farms.,Agriculture and Food,Derived from LIS bill description,,
HR743,Commending the Mechanicsville High School chapter of Future Farmers of America.,Agriculture and Food,Derived from LIS bill description,,
HR630,Commending agricultural producers in Virginia.,Agriculture and Food,Derived from LIS bill description,,
HJ733,Commending the Tunstall High School chapter of Future Farmers of America.,Agriculture and Food,Derived from LIS bill description,,
SR312,Commending the 4-H clubs and Future Farmers of America chapters in Washington County.,Agriculture and Food,Derived from LIS bill description,,
HR707,Commending Moneta Farm and Home Center.,Agriculture and Food,Derived from LIS bill description,,
HR745,Commending the Hanover High School chapter of Future Farmers of America.,Agriculture and Food,Derived from LIS bill description,,
SB834,Alcoholic beverage control; tied house exceptions.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
SB811,Alcoholic beverage control; delivery of mixed beverages.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
