Bill_id,Bill_description,Patron_id,Patron_name
HB9,Animal control officers; additional training.,H0359,Ennis
HB19,"Atlantic menhaden; VIMS, et al., to study ecology, fishery impacts, and economic importance.",H0124,Ware
HB20,Photo speed monitoring devices; location.,H0368,Jones
HB33,Public drinking water; Commissioner of Health's work group to study occurrence of microplastics.,H0336,Clark
HB38,Virginia Retirement System; enhanced retirement benefits for 911 dispatchers.,H0336,Clark
HB41,"Standards of Learning; programs of instruction, civics education on local government.",H0363,Green
HB68,Workers' compensation; post-traumatic stress disorder incurred by dispatchers.,H0177,Bulova
HB80,"Breakthrough Therapies for Veteran Suicide Prevention, Advisory Council on; established, report.",H0368,Jones
HB88,"Income tax, state; removes sunset on elevated standard deduction amounts.",H0308,McNamara
HB109,"Electric utilities; regional transmission entities, annual report.",H0269,Sullivan
HB116,Retail Sales and Use tax; exemption for data centers.,H0269,Sullivan
HB130,"Constitutional officers; dual office holding, prohibited for deputies and other persons.",H0295,Convirs-Fowler
HB141,"Veterans' Fellowship for State Government Pilot Program; created, report.",H0301,Reid
HB142,Crosswalks; waiving certain requirements for proposed installation.,H0301,Reid
HB158,Firearm locking device; required for sale or transfer of firearm.,H0375,McClure
HB162,"Retirement systems; financial reports, annual disclosures.",H0301,Reid
HB178,"Social Work Advisory Board; established, report, sunset date.",H0361,Gardner
HB181,School counselors; decreases public school staffing ratios.,H0360,Feggans
HB206,Pet shops; notice of deceased animals.,H0323,Simonds
HB211,"Higher educational institutions, public; Dept. of Education to audit education preparation programs.",H0374,Martinez
HB228,Virginia Consumer Protection Act; recycling information on products.,H0314,Cole
HB230,Health insurance; cost sharing for breast examinations.,H0323,Simonds
HB231,Virginia Retirement System; enhanced retirement benefits for animal control officers.,H0350,Campbell
HB240,"Income tax, state; contributions to Virginia College Savings Plan accounts, report.",H0207,McQuinn
HB247,"Virginia Residential Landlord and Tenant Act; noncompliance by certain landlords, tenant remedies.",H0349,Glass
HB248,Autonomous agent; regulations for an applicant requesting licensure of an agent.,H0349,Glass
HB261,"Income tax, state; conformity to Internal Revenue Code.",H0308,McNamara
HB270,"Commonwealth Comprehensive Gun Safety Program; established, etc.",H0301,Reid
HB273,"Divorce; cruelty, reasonable apprehension of bodily hurt, or willful desertion or abandonment.",H0301,Reid
HB274,Workers' compensation; presumption of compensability of infertility for firefighters.,H0317,Helmer
HB276,"Campaign advertisements; independent expenditures, electioneering communications.",H0317,Helmer
HB286,"Maternal Health Data and Quality Measures, Task Force on.",H0207,McQuinn
HB300,Virginia Retirement System; enhanced retirement benefits for 911 dispatchers.,H0333,Ballard
HB319,Firearms instructors & safety prog.; removes reference to NRA & U.S. Concealed Carry Assoc. in Code.,H0317,Helmer
HB323,Interstate Massage Compact; authorizes Virginia to become a signatory to Compact.,H0349,Glass
HB328,Interstate Teacher Mobility Compact; enters the Commonwealth into Compact.,H0349,Glass
HB331,"Richmond, City of; amending charter, extensive updates, removing outdated provisions.",H0368,Jones
HB338,Siting of data centers; locality may perform site assessment before approval.,H0382,Thomas
HB343,"Financial institutions; regulation of money transmitters, penalty.",H0314,Cole
HB347,"School board employees; civil cause of action against principals, etc.",H0363,Green
HB348,"Employment; paid sick leave, civil penalties.",H0173,Ward
HB357,"Tidal and nontidal wetlands; DEQ to establish work group to develop strategies to protect, report.",H0323,Simonds
HB359,"Public school funding; nonpersonal cost categories, federal fund deduction methodology.",H0323,Simonds
